nab_9,276,"weightedSum","+","prod","weightedSum"
nab_8,275,"weights[output][channel]","*","((UDATA_T) inputs[channel])","NULL"
nab_7,258,"weightedSum","+","prod","weightedSum"
nab_6,257,"weights[output][c]","*","((UDATA_T) inputs[channel][iy][ix])","NULL"
nab_5,128,"weightedSum","+","prod","weightedSum"
nab_4,127,"(*weights[output][channel])[sy][sx]","*","((UDATA_T) inputs[channel][iy + sy][ix + sx])","NULL"
nab_3,79,"weightedSum","+","prod","weightedSum"
nab_2,78,"(*weights[output][channel])[sy][sx]","*","((UDATA_T) inputs[channel][iy + sy][ix + sx])","NULL"
nab_1,28,"weightedSum","+","prod","weightedSum"
nab_0,27,"(*weights[output][channel])[sy][sx]","*","((UDATA_T) inputs[channel][iy + sy][ix + sx])","NULL"
